"Samples","Number.of.outlier","Outlier.genes"
"TCGA.09.1675.01B.01R.0564.01",40,"DUSP2, PBXIP1, SLC12A8, ZFP36L2, CD22, FZD2, BCL7A, PLEKHF1, SPOCK2, VILL, SMPDL3B, REPS2, CCND2, MYB, RGS1, CYP27A1, RPL10L, TCF7, APOBEC3G, TRIB2, PTPRG, ADAM28, PIK3IP1, GPC4, ST3GAL6, C1orf54, FZD3, IFI44L, PNOC, DACH1, HRH1, LTC4S, STXBP6, CD69, GSTT1, CXCL10, CCL20, HLA-DQA1, AQP9, CHI3L1"
"TCGA.09.2043.01A.01R.0709.01",37,"GPC4, AIF1, SAMSN1, CXCL3, MNDA, TREM2, RNASE6, PLEKHF1, VILL, CDH12, DACH1, C3AR1, PLA1A, CLC, HIST1H2AE, LY86, GSTT1, SLC12A8, CYP27A1, PNOC, FCGR2B, IFI44L, ST3GAL6, SKAP1, C1orf54, SPAG4, BIRC3, HLA-DQA1, MS4A6A, HRH1, RGS1, PTGER2, STXBP6, CHI3L1, APOBEC3G, CXCL10, CCL20"
"TCGA.09.2044.01B.01R.0709.01",54,"MNDA, RPL10L, SMPDL3B, GAL3ST4, CCR7, TCF7, ST3GAL6, MAP4K1, EBI3, CXCL13, LRMP, KIRREL, BMP2K, CLEC7A, FZD2, PPFIBP1, LAMP3, RRP9, FZD3, MAP9, SLC12A8, SAMSN1, NCF2, GPR19, CCL19, CXCL11, C3AR1, GPC4, SPAG4, IGKC, IL1B, ADAMDEC1, LY86, RNASE6, GSTT1, TREM2, C1orf54, SKAP1, LTB, MYB, RSAD2, MS4A6A, PTPRG, FCGR2B, APOBEC3G, CDH12, IFI44L, STXBP6, HPSE, RGS1, CCL20, CHI3L1, CXCL10, PNOC"
"TCGA.09.2045.01A.01R.0709.01",52,"PBXIP1, RRP9, SPOCK2, HRH1, CYP27A1, PLA2G7, LY86, TCF7, APOL6, PIK3IP1, SKAP1, FCGR2B, C1orf54, ZFP36L2, BCL7A, PLEKHF1, ACP5, PNOC, ADAM28, PPFIBP1, RGS1, ST3GAL6, APOBEC3G, VILL, ADAMDEC1, PTPRG, QPCT, KIRREL, SLC12A8, C3AR1, REPS2, DACH1, NCF2, BST1, MYB, PTGER2, ATHL1, ST6GALNAC4, TRPM4, FZD3, MS4A6A, RNASE6, MMP9, GSTT1, STXBP6, CXCL11, LAMP3, RSAD2, TRIB2, CXCL10, CHI3L1, IFI44L"
"TCGA.09.2048.01A.01R.0709.01",45,"BARX2, TRAF4, CCL20, RPL10L, HLA-DQA1, FCGR2B, PNOC, MANEA, RRP9, REPS2, ICA1, TCF7, EPN2, GPR19, CYP27A1, IL1A, PBXIP1, CXCL10, TRIB2, GPC4, ST3GAL6, MAP9, C1orf54, MS4A6A, BCL7A, PTPRG, LEF1, BST1, ZNF165, GSTT1, MYB, SMPDL3B, SPOCK2, SLC12A8, KIRREL, ADAMTS3, DSC1, HIST1H2AE, FZD3, HIST1H2BG, SKAP1, DACH1, CHI3L1, FZD2, UGT2B17"
"TCGA.09.2049.01D.01R.0709.01",41,"NFE2, CA8, ST3GAL6, SLC12A8, MANEA, GPR19, SKAP1, TCF7, PLEKHF1, BRAF, FOSB, DUSP2, MAK, PLA1A, BCL7A, GPC4, MAP9, KIRREL, HIST1H2BG, PDK1, ATHL1, CCND2, RPL10L, COL8A2, ADAM28, APOBEC3G, VILL, GSTT1, SPOCK2, STXBP6, HIST1H2AE, TRIB2, CYP27A1, SPAG4, MAGEA11, PBXIP1, FZD3, C1orf54, CHI3L1, DACH1, PNOC"
"TCGA.09.2050.01A.01R.0709.01",52,"HLA-DQA1, FCGR2B, ZFP36L2, CD22, WNT7A, BCL7A, RYR1, PPFIBP1, MS4A6A, PBXIP1, COL8A2, RGS1, HIST1H2AE, RCAN3, TCF7, HHEX, ACP5, CDA, CD69, LEF1, KIRREL, TRIB2, SLC12A8, DUSP2, PTPRG, REPS2, MMP12, FZD2, GSTT1, DACH1, WNT5B, GPR19, CCL20, ZNF165, PNOC, LTB, RSAD2, GPC4, IFI44L, PLEKHF1, SPAG4, APOBEC3G, MAGEA11, SPOCK2, FZD3, LAMP3, SMPDL3B, PDK1, CHI3L1, CA8, CXCL10, STXBP6"
"TCGA.09.2051.01A.01R.0709.01",62,"GAL3ST4, VNN2, APOL3, CCL7, TCF7, ZNF165, LTC4S, CA8, IL4R, CCL20, PTGER2, CCR5, DUSP2, NCF2, NOD2, EBI3, CLEC7A, CCR7, KLRF1, HLA-DOB, HPSE, APOBEC3A, FZD3, RYR1, TRIB2, ADAMDEC1, LIME1, FCGR2B, LY86, GNLY, CCL19, APOL6, PNOC, C1orf54, C3AR1, VNN1, SLC15A3, CXCL9, HIST1H2BG, IGKC, HIST1H2AE, GPC4, EAF2, MYB, RGS1, SLC12A8, ATHL1, PPFIBP1, GPR19, PLEKHF1, GSTT1, STXBP6, RNASE6, CXCL11, APOBEC3G, MS4A6A, SKAP1, CHI3L1, LAMP3, RSAD2, CXCL10, IFI44L"
"TCGA.09.2053.01C.01R.0668.01",40,"GPR19, ST3GAL6, ZNF165, MS4A6A, FCGR2B, MMP12, CCL19, CCL5, REPS2, C1orf54, PPFIBP1, RYR1, FZD3, SMPDL3B, UGT2B17, RSAD2, MAP9, ADAMDEC1, SPOCK2, TCF7, GSTT1, CCL18, CD22, SLC12A8, CXCL13, LTB, PLEKHF1, FZD2, NCF2, TRIB2, APOBEC3G, HLA-DQA1, SLC12A1, LAMP3, CXCL10, PNOC, CXCL9, IFI44L, CHI3L1, IGKC"
"TCGA.09.2054.01A.01R.0668.01",43,"NCF2, RNASE6, GAL3ST4, LY86, ST3GAL6, BCL7A, CXCL9, RGS1, PLEKHF1, CD22, CYP27A1, APOBEC3G, CD4, C3AR1, WNT5B, MAP9, CA8, IFI44L, GSTT1, FOSB, HOXA1, SLC12A1, FZD3, CXCL10, SLC12A8, DACH1, KIRREL, GPR19, TRIB2, ADAM28, PTPRG, DUSP2, HIST1H2AE, MS4A6A, PNOC, COL8A2, CCND2, SPAG4, C1orf54, CHI3L1, GPC4, FZD2, IGKC"
"TCGA.09.2055.01B.01R.0709.01",55,"GPC4, FCGR2B, RENBP, MYB, SMPDL3B, ZNF165, PIK3IP1, PBXIP1, BCL7A, PTPRG, RNASE6, CYP27A1, VNN2, TNFAIP6, LY86, RRP9, CCR7, EBI3, CLEC7A, HLA-DOB, REPS2, DUSP2, CXCL13, RGS1, ST3GAL6, TRIB2, CCL19, SLC12A8, NOD2, PLEKHF1, FZD2, LAMP3, APOBEC3G, IGHD, MS4A6A, CD38, APOL6, KYNU, C1orf54, DPP4, IGHM, BST1, FZD3, ACP5, HIST1H2AE, NCF2, RSAD2, GSTT1, STXBP6, SPAG4, CXCL10, CHI3L1, IFI44L, QPCT, PLA1A"
"TCGA.09.2056.01B.01R.0668.01",41,"CCR7, HCK, FZD2, GPC4, SELL, LY86, CXCL9, SMPDL3B, CCL19, C1orf54, CCL5, TRAF4, IFI44L, RPL10L, SLC12A8, BST1, SKAP1, MYB, NCF2, SLC2A6, FZD3, SPOCK2, CD70, IL1B, PTGER2, NFE2, RNASE6, APOBEC3G, MS4A6A, PLEKHF1, FCGR2B, TRIB2, HLA-DQA1, CCL4, TNFAIP6, CCL20, CXCL10, RGS1, QPCT, VNN1, CHI3L1"
"TCGA.10.0925.01B.01R.0653.01",36,"RRP9, PLEKHF1, FZD2, REPS2, IL7, RPL10L, CD22, MICAL3, FZD3, HLA-DOB, IFI44L, ZNF165, LEF1, PBXIP1, RGS1, MMP9, MAK, QPCT, TRIB2, STXBP6, SKAP1, BST1, MYB, CYP27A1, TCF7, GSTT1, ST3GAL6, SLC12A8, APOBEC3G, MAP9, HRH1, DUSP2, HLA-DQA1, FOSB, TREM1, CHI3L1"
"TCGA.10.0926.01A.01R.0404.01",53,"PLA2G7, IL4R, CCR7, KLRF1, ST6GALNAC4, CDC25A, HSPA6, MYB, CYP27A1, SPAG4, BCL7A, NCF2, HLA-DQA1, GAL3ST4, ACP5, ICA1, HRH1, ZNF165, RPL10L, EPN2, RRP9, PPFIBP1, TNFAIP6, TRAF4, C5AR1, RGS1, TREM1, GPR19, PTPRG, PBXIP1, CA8, GPC4, SMPDL3B, LEF1, KIRREL, APOBEC3G, C1orf54, GSTT1, SLC12A8, TCF7, ADAMTS3, MAP9, FZD3, TRIB2, SPOCK2, DACH1, FOSB, FZD2, EGR2, CHI3L1, DUSP2, CCND2, PNOC"
"TCGA.10.0927.01A.02R.0404.01",42,"MAP4K1, EPN2, KIRREL, HLA-DQA1, CA8, GPR19, PLEKHF1, PBXIP1, MAP9, PLA2G7, ZFP36L2, CYP27A1, PPFIBP1, RPL10L, EGR2, CD4, ADAM28, SMPDL3B, RYR1, LTC4S, SLC12A8, APOBEC3G, COL8A2, SPAG4, TCF7, PTPRG, SKAP1, IFI44L, SPOCK2, C1orf54, HIST1H2BG, IGKC, TRIB2, FOSB, FZD2, CCND2, CHI3L1, FZD3, HIST1H2AE, GPC4, DACH1, PNOC"
"TCGA.10.0928.01A.02R.0404.01",52,"KIRREL, BANK1, CYP27A1, MAP4K1, PDK1, LTB, LEF1, GPR19, SPAG4, PIK3IP1, PBXIP1, ST6GALNAC4, CXCL10, FZD2, HIST1H2BG, C11orf80, MICAL3, HPSE, ST3GAL6, SKAP1, SMPDL3B, SPOCK2, BIRC3, ACP5, HLA-DQA1, RPL10L, ZFP36L2, ZNF165, C1orf54, DUSP2, TCF7, CXCL5, PLEKHF1, IFI44L, VILL, CXCL3, DACH1, MYB, SLC12A8, PPFIBP1, APOBEC3G, GSTT1, MAP9, GPC4, CCL20, CDH12, FZD3, LAMP3, IL1B, PNOC, CHI3L1, STXBP6"
"TCGA.10.0930.01A.02R.0404.01",30,"C3AR1, WNT7A, C5AR1, SLAMF8, FCGR2B, PPFIBP1, BRAF, C1orf54, RGS1, PNOC, CCL4, GNLY, ADAMDEC1, HCK, MYB, UGT2B17, DPP4, QPCT, IL4R, CXCL9, FOSB, SLC12A8, CHI3L1, CCL5, MMP12, ST3GAL6, HRH1, LTB, BIRC3, CD69"
"TCGA.10.0931.01A.01R.0404.01",45,"BCL7A, APOL3, VNN1, REPS2, C1orf54, RRP9, DHX58, CYP27A1, HPSE, PLEKHF1, QPCT, MMP9, KIAA0754, BRAF, BIRC3, LEF1, PPFIBP1, CCND2, ZNF165, LRMP, SLC15A3, HLA-DQA1, FZD3, RPL10L, TCF7, HIST1H2AE, IL4R, SLC12A8, CCL20, RSAD2, ZFP36L2, ATHL1, MAGEA11, STXBP6, ST3GAL6, SKAP1, RGS1, APOBEC3G, FOSB, CXCL10, DUSP2, MYB, EGR2, IFI44L, CHI3L1"
"TCGA.10.0933.01A.01R.0404.01",17,"GPC4, RYR1, SLC12A8, ZNF165, CHI3L1, SPOCK2, APOBEC3G, TCF7, C1orf54, LEF1, CXCL10, RSAD2, DACH1, FZD2, WNT5B, IFI44L, LAMP3"
"TCGA.10.0934.01A.02R.0404.01",37,"PTPRG, TNFRSF11A, PLEKHF1, ICA1, SMPDL3B, PPFIBP1, RRP9, C1orf54, HNMT, SPAG4, FZD2, CRISP3, TCF7, RPL10L, DGKA, ST3GAL6, FOSB, TRAF4, IL4R, WNT7A, PBXIP1, ZNF165, VILL, BST1, HIST1H2BG, FRK, REPS2, FZD3, HIST1H2AE, GSTT1, ST6GALNAC4, MAP9, SLC12A8, TRPM4, CHI3L1, DPP4, VNN1"
"TCGA.10.0935.01A.02R.0404.01",23,"MAP9, IGKC, PLEKHF1, VILL, C1orf54, PBXIP1, TCF7, SPOCK2, SPAG4, SLC12A8, RGS1, TRIB2, PPFIBP1, ADAM28, APOBEC3G, PTPRG, GSTT1, FZD2, WNT7A, FZD3, CHI3L1, PNOC, DACH1"
"TCGA.10.0936.01A.01R.0404.01",39,"HPSE, RPL10L, GPC4, CD40, APOL6, LIME1, DUSP2, IL4R, PTPRG, MICAL3, SKAP1, SPOCK2, CCL19, ATHL1, RRP9, FZD2, SLC15A3, ZNF165, FZD3, VNN3, TCF7, BIRC3, RGS1, STXBP6, LTC4S, GSTT1, MAGEA11, PLEKHF1, MYB, LAMP3, VNN1, RSAD2, APOBEC3G, MAP9, IGKC, HLA-DQA1, CXCL10, IFI44L, CHI3L1"
"TCGA.10.0937.01A.02R.0404.01",42,"CCL5, GPR19, SAMSN1, PNOC, GAL3ST4, LTC4S, BRAF, QPCT, MICAL3, STXBP6, RGS1, SLC12A8, CCL18, TCF7, C3AR1, MMP9, C1orf54, ZNF165, RPL10L, APOL6, ST6GALNAC4, MS4A6A, MYB, RYR1, CCL20, MAK, SLC15A3, NCF2, PLEKHF1, RNASE6, PTGER2, GSTT1, SPOCK2, VNN1, FZD3, APOBEC3G, RSAD2, HLA-DQA1, LAMP3, IFI44L, CXCL10, CHI3L1"
"TCGA.10.0938.01A.02R.0404.01",28,"EGR2, REPS2, PPFIBP1, GSTT1, ADAMTS3, CDH12, HIST1H2AE, TCF7, ZNF165, RSAD2, GPR19, TRIB2, MAK, PASK, FZD2, SKAP1, MAGEA11, GPC4, APOBEC3G, FOSB, MAP9, FZD3, DACH1, IFI44L, MYB, ATHL1, CXCL10, CHI3L1"
"TCGA.13.0714.01A.01R.0362.01",30,"AIF1, TRPM4, C3AR1, PPFIBP1, FZD3, VNN1, RPL10L, SPOCK2, PLEKHF1, BRAF, NCF2, CXCL9, DACH1, MS4A6A, C1orf54, LIME1, FZD2, HPSE, HLA-DQA1, TCF7, WNT7A, PTPRG, TRIB2, CXCL10, IGKC, SLC12A8, GSTT1, PNOC, HRH1, CHI3L1"
"TCGA.13.0717.01A.01R.0362.01",45,"COL8A2, NCF2, MYB, CDC25A, PIK3IP1, SLC12A8, HSPA6, HRH1, RRP9, RPL10L, TCF7, ZFP36L2, ZNF324, FZD2, C1orf54, CYP27A1, RGS1, ARHGAP22, TYR, LAMP3, SKAP1, PPFIBP1, AQP9, PTPRG, BCL7A, KIRREL, HIST1H2BG, PLA2G7, ST3GAL6, SMPDL3B, PBXIP1, GSTT1, EGR2, FZD3, MAP4K1, TRAF4, TRIB2, CHI3L2, SPOCK2, HIST1H2AE, DUSP2, GPC4, CHI3L1, PNOC, FOSB"
"TCGA.13.0720.01A.01R.0362.01",38,"ZFP36L2, STXBP6, C1orf54, MYB, FOSB, TNFSF14, APOL6, CXCL3, LTC4S, PPFIBP1, ICA1, DUSP2, VNN3, VNN2, SLC12A8, RGS1, ADAM28, FZD3, SKAP1, IGKC, TCF7, ST6GALNAC4, APOBEC3G, AQP9, SPOCK2, LAMP3, ATHL1, QPCT, GPC4, CRISP3, RSAD2, TRIB2, CCL20, IFI44L, VNN1, CXCL10, BIRC3, CHI3L1"
"TCGA.13.0723.01A.02R.0362.01",31,"VNN2, RNASE6, IGHD, TRIB2, PNOC, IRF8, MMP12, C1orf54, HIST1H2AE, CD40, FCGR2B, GPC4, MS4A6A, TNFAIP6, GSTT1, CXCL13, CCR7, EBI3, APOBEC3G, PLEKHF1, RSAD2, CCL19, STXBP6, LAMP3, MMP9, IFI44L, CXCL9, CHI3L1, HLA-DQA1, IGKC, CXCL10"
"TCGA.13.0724.01A.01R.0362.01",22,"BRAF, VNN1, DUSP2, LAMP3, TCF7, REPS2, CXCL10, IFI44L, MAP4K1, SPOCK2, PNOC, C1orf54, PPFIBP1, MYB, STXBP6, SLC12A8, GSTT1, RGS1, PLEKHF1, ZFP36L2, MAGEA11, CHI3L1"
"TCGA.13.0725.01A.01R.0362.01",23,"SELL, MYB, HLA-DQA1, C1orf54, FZD3, RSAD2, TCF7, SLC12A8, APOBEC3G, GPC4, RNASE6, SPOCK2, HPSE, GSTT1, STXBP6, IFI44L, IGKC, MS4A6A, LAMP3, CHI3L1, RGS1, AQP9, CXCL10"
"TCGA.13.0726.01A.01R.0362.01",67,"FZD2, RYR1, SMPDL3B, EPHA1, FZD3, FCGR2B, BRAF, CDC25A, TRPM4, CXCL9, ICA1, ZNF165, KIRREL, HIST1H2BG, RRP9, RNASE6, EPN2, KIAA0754, ST3GAL6, PBXIP1, RPL10L, MICAL3, SLC2A6, LEF1, APOBEC3G, LTC4S, PTGER2, DGKA, MS4A6A, SKAP1, CYP27A1, PLEKHF1, BANK1, IL2RB, HIST1H2AE, REPS2, BST1, C11orf80, MAP9, PIK3IP1, SPAG4, IL7R, APOL3, TCF7, WNT7A, RGS1, HRH1, IL4R, APOL6, C1orf54, RSAD2, SLC12A8, HLA-DQA1, LAMP3, CXCL10, GNLY, GPC4, QPCT, IFI44L, ATHL1, COL8A2, PPFIBP1, TRIB2, AQP9, SPOCK2, PNOC, CHI3L1"
"TCGA.13.0727.01A.01R.0362.01",35,"CXCL10, RSAD2, RPL10L, C1orf54, LIME1, SLC12A8, AIF1, PBXIP1, ZFP36L2, NCF2, PLEKHF1, TREM2, SKAP1, FZD2, FCGR2B, MMP9, PPFIBP1, TCF7, ATHL1, TRIB2, MYB, SMPDL3B, RNASE6, HRH1, RYR1, IFI44L, FZD3, LAMP3, GSTT1, MS4A6A, AQP9, RGS1, SPOCK2, PNOC, CHI3L1"
"TCGA.13.0730.01A.01R.0362.01",51,"MS4A6A, DUSP2, SLC12A8, BCL7A, FZD3, C3AR1, REPS2, CCL18, CDA, ZFP36L2, CCL5, APOBEC3G, ZNF222, RGS1, BACH2, HCK, PBXIP1, HOXA1, KLRK1, GPR19, DACH1, EAF2, PPFIBP1, ACP5, PTPRG, MAP4K1, RPL10L, TCF7, CA8, WNT5B, NCF2, SPOCK2, IGKC, RYR1, CYP27A1, FRMD4A, STXBP6, LAMP3, HLA-DQA1, COL8A2, CXCL10, C1orf54, PNOC, FZD2, GPC4, PLEKHF1, CCND2, RSAD2, TRIB2, CHI3L1, IFI44L"
"TCGA.13.0751.01A.01R.0362.01",39,"IRF8, EPN2, PTPRG, PBXIP1, HNMT, CD22, GAL3ST4, C1orf54, RRP9, APOL6, IL4R, RPL10L, REPS2, TCF7, LTC4S, SLC12A8, AQP9, P2RY2, FZD3, VILL, HRH1, ST3GAL6, STXBP6, MYB, ZFP36L2, CYP27A1, RGS1, GSTT1, ATHL1, BIRC3, PLEKHF1, CRISP3, LAMP3, CXCL10, IFI44L, FOSB, PNOC, DUSP2, CHI3L1"
"TCGA.13.0755.01A.01R.0362.01",23,"RPL10L, APOL6, MAGEA11, HLA-DQA1, GPC4, RSAD2, SPOCK2, CCR7, HPSE, GSTT1, C1orf54, BIRC3, RGS1, CCL22, STXBP6, MS4A6A, CHI3L1, CCL20, APOBEC3G, HIST1H2AE, CXCL11, IFI44L, CXCL10"
"TCGA.13.0757.01A.01R.0362.01",29,"PDK1, SMPDL3B, DACH1, SKAP1, PLEKHF1, PPFIBP1, STXBP6, RNASE6, SPOCK2, MS4A6A, HRH1, SLC12A8, TCF7, COL8A2, DUSP2, FOSB, ST3GAL6, RSAD2, IFI44L, FZD2, RGS1, C1orf54, CHI3L1, LAMP3, CA8, CXCL10, IGKC, SPAG4, PNOC"
"TCGA.13.0758.01A.01R.0362.01",46,"HIST1H2BG, KIRREL, AIF1, AQP9, CYP27B1, REPS2, IL4R, CLEC7A, TNFAIP6, CCR5, SMPDL3B, CD40, PTPRG, LY86, CXCL9, TCF7, CCL4, BRAF, SLC12A8, SPAG4, PLEKHF1, C3AR1, CCR7, EBI3, HPSE, C1orf54, ST6GALNAC4, HIST1H2AE, MAP9, APOL6, SPOCK2, CCL19, RGS1, STXBP6, RNASE6, MS4A6A, RSAD2, CXCL11, FZD3, GSTT1, APOBEC3G, PNOC, LAMP3, IFI44L, CHI3L1, CXCL10"
"TCGA.13.0761.01A.01R.0362.01",29,"SLC12A8, CCL19, IL4R, ZNF165, CCL20, SPAG4, PTPRG, IL1B, ADAMDEC1, NCF2, FCGR2B, GSTT1, MMP12, RSAD2, RGS1, STXBP6, IFI44L, LAMP3, SPOCK2, EGR2, HRH1, CHI3L1, TRIB2, MMP9, DUSP2, PNOC, WNT7A, CXCL10, FOSB"
"TCGA.13.0762.01A.01R.0362.01",31,"EPN2, HIST1H2BG, CCND2, KIRREL, FZD3, SLC12A8, TRAF4, WNT7A, NFE2, RPL10L, APOBEC3G, LTB, CA8, PBXIP1, TCF7, SPAG4, LEF1, PPFIBP1, DACH1, HIST1H2AE, MAP4K1, TRIB2, PTPRG, MMP9, MAGEA11, IL4R, ST3GAL6, GSTT1, PNOC, STXBP6, CHI3L1"
"TCGA.13.0764.01A.03R.0362.01",57,"KYNU, CXCL11, PIK3IP1, WNT5B, CXCL13, RRP9, CDC25A, NCF2, SLC15A3, SPOCK2, ICA1, BCL2A1, RSAD2, CCL4, DHX58, PTPRG, MICAL3, PNOC, GPC4, CD40, ZNF165, HIST1H2AE, HLA-DOB, APOL6, FZD2, PRF1, MAP4K1, CRISP3, DUSP2, GPR19, RNASE6, SKAP1, CYP27A1, GNLY, TNFAIP6, CCR7, MYB, EBI3, SLC12A8, PLEKHF1, APOBEC3G, BMP2K, RYR1, IL2RB, CCL19, MS4A6A, CCL5, IGKC, HLA-DQA1, MAGEA11, GSTT1, STXBP6, IFI44L, LAMP3, CXCL9, CHI3L1, CXCL10"
"TCGA.13.0765.01A.01R.0362.01",22,"ADAMDEC1, CXCL5, BCL2A1, IGSF6, APOL6, RGS1, PLEKHF1, SPAG4, CCL20, CYP27A1, HIST1H2BG, PLA2G7, HIST1H2AE, ACP5, CHI3L2, NCF2, BIRC3, SPOCK2, PTGER2, PNOC, MMP9, CHI3L1"
"TCGA.13.0766.01A.02R.0362.01",31,"GPC4, IL4R, LEF1, C1orf54, RGS1, CYP27A1, TCF7, CCL20, ZNF165, EBI3, APOBEC3G, DUSP2, MMP9, HLA-DQA1, AQP9, PLEKHF1, CCR7, TRPM4, SPAG4, RSAD2, CCL22, GSTT1, SPOCK2, SLC12A8, PNOC, IFI44L, STXBP6, CCND2, LAMP3, CHI3L1, CXCL10"
"TCGA.13.0768.01A.01R.0362.01",51,"BIRC3, PPFIBP1, C3AR1, CYP27B1, KYNU, SLAMF1, BCL2A1, COL8A2, NCF2, MAP4K1, GZMA, CCL18, IRF8, MMP12, KLRB1, TNFAIP6, RYR1, ADAMDEC1, RNASE6, CD38, HPSE, GSTT1, CD40, GZMK, SLAMF8, APOL6, PLEKHF1, IL2RB, CD3D, LAMP3, CCR5, RSAD2, CCR7, EBI3, GZMB, C1orf54, SLC12A8, HLA-DQA1, CCL19, CD2, STXBP6, RGS1, CCL5, APOBEC3G, MS4A6A, IFI44L, CXCL13, IGKC, CXCL10, CHI3L1, CXCL9"
"TCGA.13.0791.01A.01R.0362.01",17,"APOBEC3G, SPOCK2, FZD3, MYB, MMP9, CCR7, SLC12A8, LAMP3, RSAD2, PNOC, RGS1, STXBP6, CCL22, MAP4K1, IFI44L, CXCL10, CHI3L1"
"TCGA.13.0792.01A.01R.0362.01",25,"BANK1, SMPDL3B, SLC15A3, CXCL9, NCF2, PLEKHF1, MMP12, TRIB2, HLA-DOB, ST3GAL6, TNFAIP6, EBI3, CCR7, APOL3, CCL19, CXCL13, APOL6, RSAD2, CHI3L1, GZMB, APOBEC3G, LAMP3, IFI44L, HLA-DQA1, CXCL10"
"TCGA.13.0793.01A.01R.0362.01",20,"APOL6, PLEKHF1, TRPM4, HRH1, RSAD2, LAMP3, STXBP6, HIST1H2AE, CCL20, MS4A6A, AQP9, APOBEC3G, GSTT1, C1orf54, SLC12A8, PNOC, RGS1, IFI44L, CXCL10, CHI3L1"
"TCGA.13.0794.01A.01R.0362.01",42,"PIK3IP1, CHI3L1, RYR1, TXK, ZNF222, DSC1, TRIB2, PTPRG, CD19, DACH1, TCF7, STXBP6, ZNF165, CXCL10, IFI44L, MAP9, CD40, PDK1, ADAMTS3, SPOCK2, CA8, BANK1, CYP27A1, PBXIP1, WNT7A, MAGEA11, GPR19, PPFIBP1, PLEKHF1, P2RX5, MAP4K1, FZD2, C11orf80, MYB, GPC4, ACP5, C1orf54, SPAG4, PNOC, FZD3, TRAF4, SMPDL3B"
"TCGA.13.0795.01A.01R.0362.01",24,"CLEC7A, BIRC3, SPOCK2, GSTT1, APOL6, MYB, APOBEC3G, NCF2, CCL18, TREM2, RYR1, MMP9, STXBP6, C1orf54, MAP4K1, RNASE6, LAMP3, IFI44L, MS4A6A, CXCL10, HLA-DQA1, PNOC, RGS1, CHI3L1"
"TCGA.13.0797.01A.01R.0362.01",44,"CLEC7A, IL12RB2, MS4A6A, HLA-DQA1, KIAA0754, REPS2, LRMP, SLC15A3, PTPRG, GAL3ST4, PPFIBP1, C11orf80, TCF7, FES, PIK3IP1, HRH1, ZFP36L2, ST6GALNAC4, ACP5, GPR19, SPAG4, MAP4K1, SLC12A8, C1orf54, APOL6, SKAP1, PLEKHF1, RSAD2, RNASE6, GSTT1, LAMP3, MICAL3, MYB, APOL3, RGS1, BIRC3, RYR1, APOBEC3G, STXBP6, IFI44L, IGKC, HPSE, CXCL10, CHI3L1"
"TCGA.13.0799.01A.01R.0362.01",33,"FOSB, IL4R, CXCL3, CR2, BMP2K, PNOC, ADAMTS3, CXCL9, AQP9, SLC12A8, ZFP36L2, BST1, APOBEC3G, BIRC3, TCF7, HIST1H2AE, SELL, HLA-DQA1, HPSE, GPR19, SKAP1, MYB, HIST1H2BG, CCND2, LAMP3, RSAD2, DUSP2, CXCL11, ZNF165, STXBP6, CHI3L1, IFI44L, CXCL10"
"TCGA.13.0800.01A.01R.0362.01",23,"SPOCK2, BCL7A, TRAF4, PTPRG, MMP9, CD3G, DUSP2, APOBEC3G, C1orf54, MAP9, SPAG4, MAP4K1, TRIB2, ZNF165, LEF1, LAMP3, DACH1, RSAD2, IFI44L, FZD3, CCND2, FZD2, CHI3L1"
"TCGA.13.0801.01A.01R.0362.01",40,"SLC12A8, CD38, CCL23, CXCL11, CLEC10A, TRPM4, CXCL9, CCL13, CRISP3, TREM2, TNFAIP6, HNMT, CLEC7A, C3AR1, GSTT1, GAL3ST4, CCR7, EBI3, SKAP1, NCF2, ADAMDEC1, APOBEC3G, CCL18, RGS1, CCL20, LY86, CCL19, C1orf54, MYB, IFI44L, RNASE6, CHI3L1, RSAD2, MS4A6A, STXBP6, FCGR2B, IGKC, HLA-DQA1, MMP9, CXCL10"
"TCGA.13.0802.01A.01R.0362.01",30,"HIST1H2AE, CXCL10, NCF2, SMPDL3B, PTPRG, CYP27A1, ACP5, BCL7A, COL8A2, TRAF4, MMP9, FZD3, WNT7A, RYR1, HLA-DOB, TCF7, SPOCK2, ADAMTS3, MAP4K1, SLC12A8, TRIB2, P2RY2, CHI3L1, CCL18, C1orf54, GSTT1, GPC4, PNOC, FZD2, DACH1"
"TCGA.13.0803.01A.01R.0362.01",27,"EBI3, ZNF324, TRPM4, ST6GALNAC4, RPL10L, HIST1H2BG, IFI44L, CCR7, TCF7, TRIB2, NCF2, MYB, C1orf54, SLC12A8, RSAD2, APOL6, PPFIBP1, SKAP1, STXBP6, PLEKHF1, LAMP3, HIST1H2AE, SPOCK2, MMP9, CXCL10, PNOC, CHI3L1"
"TCGA.13.0804.01A.01R.0362.01",22,"ST3GAL6, C3AR1, PPFIBP1, TRIB2, APOBEC3G, VNN1, FCGR2B, PTPRG, MS4A6A, ATHL1, GPC4, NCF2, C1orf54, SPOCK2, MMP9, VNN2, RGS1, GSTT1, PLEKHF1, STXBP6, CRISP3, CHI3L1"
"TCGA.13.0805.01A.01R.0362.01",31,"CCL4, RGS1, CCR7, TCF7, AQP9, RNASE6, SLC12A8, CCND2, CCL19, FCGR2B, AIF1, GPC4, C1orf54, MEP1A, NCF2, GSTT1, VNN1, IGKC, IFI44L, SPOCK2, SPAG4, LAMP3, CA8, PNOC, MS4A6A, HLA-DQA1, CCL20, MMP9, ADAMDEC1, CXCL10, CHI3L1"
